code,term,codetype,category,source
53741008,Coronary artery disease,Snomed Concept,Incident coronary/ischaemic heart disease,Head
53741008,Coronary arteriosclerosis,Snomed Concept,Incident coronary/ischaemic heart disease,Head
53741008,CAD - Coronary artery disease,Snomed Concept,Incident coronary/ischaemic heart disease,Head
53741008,CHD - Coronary heart disease,Snomed Concept,Incident coronary/ischaemic heart disease,Head
53741008,Coronary heart disease,Snomed Concept,Incident coronary/ischaemic heart disease,Head
856511000006109,CHD annual review,Snomed Concept,Prevalent coronary/ischaemic heart disease,Head
1823891000006109,Coronary heart disease confirmed,Snomed Concept,Incident coronary/ischaemic heart disease,Head
1895641000006105,On coronary heart disease register,Snomed Concept,Prevalent coronary/ischaemic heart disease,Head
908791000006109,[RFC] Coronary heart disease,Snomed Concept,Incident coronary/ischaemic heart disease,Head
699245006,Emergency hospital admission for ischaemic heart disease,Snomed Concept,Emergency presentation of coronary/ischaemic heart disease,Head
643861000000100,Acute/subacute IHD NOS,Snomed Concept,Incident coronary/ischaemic heart disease,Head
621601000000104,Chr. ischaemic heart dis. NOS,Snomed Concept,Incident coronary/ischaemic heart disease,Head
315614006,Coronary heart disease annual review,Snomed Concept,Prevalent coronary/ischaemic heart disease,Head
390799004,Coronary heart disease review,Snomed Concept,Prevalent coronary/ischaemic heart disease,Head
394724007,Coronary heart disease medication review,Snomed Concept,Prevalent coronary/ischaemic heart disease,Head
414545008,Other acute and subacute ischaemic heart disease,Snomed Concept,Incident coronary/ischaemic heart disease,Head
414545008,Other acute and subacute ischaemic heart disease NOS,Snomed Concept,Incident coronary/ischaemic heart disease,Head
414545008,Other specified ischaemic heart disease,Snomed Concept,Incident coronary/ischaemic heart disease,Head
414545008,Ischaemic heart disease NOS,Snomed Concept,Incident coronary/ischaemic heart disease,Head
414545008,[X]Other forms of acute ischaemic heart disease,Snomed Concept,Incident coronary/ischaemic heart disease,Head
414545008,Ischaemic heart disease,Snomed Concept,Incident coronary/ischaemic heart disease,Head
414545008,IHD - Ischaemic heart disease,Snomed Concept,Incident coronary/ischaemic heart disease,Head
414545008,Other acute and subacute ischaemic heart disease,Snomed Concept,Incident coronary/ischaemic heart disease,Head
414545008,[X]Ischaemic heart diseases,Snomed Concept,Incident coronary/ischaemic heart disease,Head
414545008,Ischemic heart disease,Snomed Concept,Incident coronary/ischaemic heart disease,Head
414545008,IHD - Ischemic heart disease,Snomed Concept,Incident coronary/ischaemic heart disease,Head
443502000,Atherosclerotic heart disease,Snomed Concept,Incident coronary/ischaemic heart disease,Head
