code,term,codetype,category,source
1882421000006109,1 COPD exacerbation in past year,Snomed Concept,Prevalent chronic obstructive pulmonary disorder,Head
1882441000006102,2 COPD exacerbations in past year,Snomed Concept,Prevalent chronic obstructive pulmonary disorder,Head
1882431000006107,3+ COPD exacerbations in past year,Snomed Concept,Prevalent chronic obstructive pulmonary disorder,Head
285381006,Acute infective exacerbation of chronic obstructive airways disease,Snomed Concept,Prevalent chronic obstructive pulmonary disorder,Head
847091000000104,Acute non-infective exacerbation of chronic obstructive pulmonary disease,Snomed Concept,Prevalent chronic obstructive pulmonary disorder,Head
847091000000104,Acute non-infective exacerbation of COPD (chronic obstructive pulmonary disease),Snomed Concept,Prevalent chronic obstructive pulmonary disorder,Head
810951000000101,Chronic obstructive pulmonary disease self-management plan review,Snomed Concept,Prevalent chronic obstructive pulmonary disorder,Head
810951000000101,COPD (chronic obstructive pulmonary disease) self-management plan review,Snomed Concept,Prevalent chronic obstructive pulmonary disorder,Head
13645005,Other specified chronic obstructive airways disease,Snomed Concept,Incident chronic obstructive pulmonary disorder ,Head
13645005,Chronic obstructive airway disease,Snomed Concept,Incident chronic obstructive pulmonary disorder ,Head
13645005,[X]Other specified chronic obstructive pulmonary disease,Snomed Concept,Incident chronic obstructive pulmonary disorder ,Head
13645005,Chronic obstructive pulmonary disease,Snomed Concept,Incident chronic obstructive pulmonary disorder ,Head
13645005,Other specified chronic obstructive pulmonary disease,Snomed Concept,Incident chronic obstructive pulmonary disorder ,Head
13645005,Chronic obstructive pulmonary disease NOS,Snomed Concept,Incident chronic obstructive pulmonary disorder ,Head
13645005,COAD - Chronic obstructive airways disease,Snomed Concept,Incident chronic obstructive pulmonary disorder ,Head
13645005,Chronic obst. pulm. dis. NOS,Snomed Concept,Incident chronic obstructive pulmonary disorder ,Head
13645005,Chr. airway obstruction NOS,Snomed Concept,Incident chronic obstructive pulmonary disorder ,Head
13645005,Chronic obstructive lung disease,Snomed Concept,Incident chronic obstructive pulmonary disorder ,Head
13645005,Chronic airway obstruction,Snomed Concept,Incident chronic obstructive pulmonary disorder ,Head
13645005,Chronic airflow obstruction,Snomed Concept,Incident chronic obstructive pulmonary disorder ,Head
13645005,CAFL - Chronic airflow limitation,Snomed Concept,Incident chronic obstructive pulmonary disorder ,Head
