code,term,codetype,category,source
906051000006102,[RFC] Crohns disease,Snomed Concept,Incident Crohn's disease            ,Head
196578009,Orofacial Crohn's disease,Snomed Concept,Incident Crohn's disease            ,Head
196578009,Crohn's disease of oral soft tissues,Snomed Concept,Incident Crohn's disease            ,Head
196578009,Oral Crohn's disease,Snomed Concept,Incident Crohn's disease            ,Head
34000006,Crohn's disease,Snomed Concept,Incident Crohn's disease            ,Head
34000006,Granulomatous enteritis,Snomed Concept,Incident Crohn's disease            ,Head
34000006,Regional enteritis NOS,Snomed Concept,Incident Crohn's disease            ,Head
34000006,[X]Other Crohn's disease,Snomed Concept,Incident Crohn's disease            ,Head
34000006,Crohn's disease NOS,Snomed Concept,Incident Crohn's disease            ,Head
34000006,Crohn's regional enteritis,Snomed Concept,Incident Crohn's disease            ,Head
34000006,Regional enteritis - Crohn,Snomed Concept,Incident Crohn's disease            ,Head
34000006,CD - Crohn's disease,Snomed Concept,Incident Crohn's disease            ,Head
34000006,Crohn disease,Snomed Concept,Incident Crohn's disease            ,Head
34000006,Crohns disease,Snomed Concept,Incident Crohn's disease            ,Head
196977009,Crohn's disease of terminal ileum,Snomed Concept,Incident Crohn's disease            ,Head
196977009,Crohn disease of terminal ileum,Snomed Concept,Incident Crohn's disease            ,Head
38106008,Crohn's disease of the ileum unspecified,Snomed Concept,Incident Crohn's disease            ,Head
38106008,Crohn's disease of ileum,Snomed Concept,Incident Crohn's disease            ,Head
38106008,Crohn's ileitis,Snomed Concept,Incident Crohn's disease            ,Head
38106008,Crohn disease of ileum,Snomed Concept,Incident Crohn's disease            ,Head
414154002,Exacerbation of Crohn's disease of small intestine,Snomed Concept,Prevalent Crohn's disease           ,Head
414154002,Exacerbation of Crohn disease of small intestine,Snomed Concept,Prevalent Crohn's disease           ,Head
56689002,Crohn's disease of small intestine,Snomed Concept,Incident Crohn's disease            ,Head
56689002,Regional enteritis of the small bowel,Snomed Concept,Incident Crohn's disease            ,Head
56689002,"Crohns disease, small intestine",Snomed Concept,Incident Crohn's disease            ,Head
414153008,Exacerbation of Crohn's disease of large intestine,Snomed Concept,Prevalent Crohn's disease           ,Head
414153008,Exacerbation of Crohn disease of large intestine,Snomed Concept,Prevalent Crohn's disease           ,Head
7620006,Crohn's disease of large bowel,Snomed Concept,Incident Crohn's disease            ,Head
7620006,Regional enteritis of the large bowel,Snomed Concept,Incident Crohn's disease            ,Head
50440006,Regional enteritis of the colon,Snomed Concept,Incident Crohn's disease            ,Head
50440006,CC - Crohn's colitis,Snomed Concept,Incident Crohn's disease            ,Head
50440006,Crohn's disease of colon,Snomed Concept,Incident Crohn's disease            ,Head
50440006,Granulomatous colitis,Snomed Concept,Incident Crohn's disease            ,Head
