code,term,codetype,category,source
983261000006103,Multiple sclerosis - personal health plan,Snomed Concept,Prevalent multiple sclerosis,Head
983291000006106,Multiple sclerosis - primary progressive,Snomed Concept,Incident multiple sclerosis,Head
983311000006105,Multiple sclerosis - relapsing remitting,Snomed Concept,Incident multiple sclerosis,Head
983301000006107,Multiple sclerosis - secondary progressive,Snomed Concept,Incident multiple sclerosis,Head
759171000000105,Multiple sclerosis monitoring third letter,Snomed Concept,Prevalent multiple sclerosis,Head
905781000006102,[RFC] Multiple sclerosis,Snomed Concept,Incident multiple sclerosis,Head
908811000006108,[RFC] Multiple sclerosis,Snomed Concept,Incident multiple sclerosis,Head
1747821000006101,Multiple sclerosis monitoring administration,Snomed Concept,Prevalent multiple sclerosis,Head
1747831000006103,Multiple sclerosis monitoring first letter,Snomed Concept,Prevalent multiple sclerosis,Head
198491000000106,Multiple sclerosis review,Snomed Concept,Prevalent multiple sclerosis,Head
205631000000104,Multiple sclerosis multidisciplinary review,Snomed Concept,Prevalent multiple sclerosis,Head
811881000000109,Multiple sclerosis care plan agreed,Snomed Concept,Prevalent multiple sclerosis,Head
367561000000107,Management of multiple sclerosis in onset phase,Snomed Concept,Incident multiple sclerosis,Head
367591000000101,Management of multiple sclerosis in early disease phase,Snomed Concept,Incident multiple sclerosis,Head
367621000000103,Management of multiple sclerosis in stable disability phase,Snomed Concept,Prevalent multiple sclerosis,Head
367681000000102,Management of multiple sclerosis in palliative phase,Snomed Concept,Prevalent multiple sclerosis,Head
515931000000104,Multiple sclerosis review declined,Snomed Concept,Prevalent multiple sclerosis,Head
166411000000100,Specialised services for patients with multiple sclerosis enhanced services administration,Snomed Concept,Prevalent multiple sclerosis,Head
758981000000100,Multiple sclerosis monitoring administration,Snomed Concept,Prevalent multiple sclerosis,Head
759051000000102,Multiple sclerosis monitoring first letter,Snomed Concept,Prevalent multiple sclerosis,Head
759091000000105,Multiple sclerosis monitoring second letter,Snomed Concept,Prevalent multiple sclerosis,Head
24700007,Multiple sclerosis,Snomed Concept,Incident multiple sclerosis,Head
24700007,Multiple sclerosis NOS,Snomed Concept,Incident multiple sclerosis,Head
24700007,Disseminated sclerosis,Snomed Concept,Incident multiple sclerosis,Head
24700007,MS - Multiple sclerosis,Snomed Concept,Incident multiple sclerosis,Head
192926004,Multiple sclerosis of the brain stem,Snomed Concept,Incident multiple sclerosis,Head
192926004,Multiple sclerosis of the brainstem,Snomed Concept,Incident multiple sclerosis,Head
192927008,Multiple sclerosis of the spinal cord,Snomed Concept,Incident multiple sclerosis,Head
192928003,Generalised multiple sclerosis,Snomed Concept,Incident multiple sclerosis,Head
192929006,Exacerbation of multiple sclerosis,Snomed Concept,Prevalent multiple sclerosis,Head
438511000,Benign multiple sclerosis,Snomed Concept,Incident multiple sclerosis,Head
428700003,Primary progressive multiple sclerosis,Snomed Concept,Incident multiple sclerosis,Head
428700003,Multiple sclerosis (MS) primary progressive,Snomed Concept,Incident multiple sclerosis,Head
426373005,Relapsing remitting multiple sclerosis,Snomed Concept,Incident multiple sclerosis,Head
426373005,Multiple sclerosis (MS) relapsing remitting,Snomed Concept,Incident multiple sclerosis,Head
425500002,Secondary progressive multiple sclerosis,Snomed Concept,Incident multiple sclerosis,Head
425500002,Multiple sclerosis (MS) secondary progressive,Snomed Concept,Incident multiple sclerosis,Head
230373008,Chronic progressive multiple sclerosis,Snomed Concept,Incident multiple sclerosis,Aurum browser
230373008,Multiple sclerosis (MS) chronic/progressive,Snomed Concept,Incident multiple sclerosis,Aurum browser
230374002,Remittent-progressive multiple sclerosis,Snomed Concept,Incident multiple sclerosis,Aurum browser
698626001,Dementia associated with multiple sclerosis,Snomed Concept,Prevalent multiple sclerosis,Aurum browser
724778008,Progressive relapsing multiple sclerosis,Snomed Concept,Incident multiple sclerosis,Aurum browser
367651000000108,Management of multiple sclerosis in progressive disability phase,Snomed Concept,Prevalent multiple sclerosis,Aurum browser
759131000000108,Multiple sclerosis monitoring telephone invitation,Snomed Concept,Prevalent multiple sclerosis,Aurum browser
1747861000006107,Multiple sclerosis monitoring telephone invite,Snomed Concept,Prevalent multiple sclerosis,Aurum browser
445967004,Clinically isolated syndrome,Snomed Concept,Incident multiple sclerosis,Aurum browser
703621006,Polysymptomatic clinically isolated syndrome,Snomed Concept,Incident multiple sclerosis,Aurum browser
666A.00,Multiple sclerosis review,Read,Prevalent multiple sclerosis,Caliber
666B.00,Multiple sclerosis multidisciplinary review,Read,Prevalent multiple sclerosis,Caliber
8Cc0.00,Management of multiple sclerosis in onset phase,Read,Incident multiple sclerosis,Caliber
8Cc1.00,Management of multiple sclerosis in early disease phase,Read,Incident multiple sclerosis,Caliber
8Cc2.00,Management of multiple sclerosis in stable disability phase,Read,Prevalent multiple sclerosis,Caliber
8Cc4.00,Management of multiple sclerosis in palliative phase,Read,Prevalent multiple sclerosis,Caliber
8CS1.00,Multiple sclerosis care plan agreed,Read,Prevalent multiple sclerosis,Caliber
8IAb.00,Multiple sclerosis review declined,Read,Prevalent multiple sclerosis,Caliber
9kG..00,Spec serv for pat with multiple sclerosis - enh serv admin,Read,Prevalent multiple sclerosis,Caliber
9mD0.00,Multiple sclerosis monitoring first letter,Read,Prevalent multiple sclerosis,Caliber
9mD1.00,Multiple sclerosis monitoring second letter,Read,Prevalent multiple sclerosis,Caliber
9mD..00,Multiple sclerosis monitoring administration,Read,Prevalent multiple sclerosis,Caliber
F200.00,Multiple sclerosis of the brain stem,Read,Incident multiple sclerosis,Caliber
F201.00,Multiple sclerosis of the spinal cord,Read,Incident multiple sclerosis,Caliber
F202.00,Generalised multiple sclerosis,Read,Incident multiple sclerosis,Caliber
F203.00,Exacerbation of multiple sclerosis,Read,Prevalent multiple sclerosis,Caliber
F204.00,Benign multiple sclerosis,Read,Incident multiple sclerosis,Caliber
F206.00,Primary progressive multiple sclerosis,Read,Incident multiple sclerosis,Caliber
F207.00,Relapsing and remitting multiple sclerosis,Read,Incident multiple sclerosis,Caliber
F208.00,Secondary progressive multiple sclerosis,Read,Incident multiple sclerosis,Caliber
F20..00,Multiple sclerosis,Read,Incident multiple sclerosis,Caliber
F20..11,Disseminated sclerosis,Read,Incident multiple sclerosis,Caliber
F20z.00,Multiple sclerosis NOS,Read,Incident multiple sclerosis,Caliber
9mD2.00,Multiple sclerosis monitoring telephone invitation,Read,Prevalent multiple sclerosis,Gold browser
F213.00,Clinically isolated syndrome,Read,Incident multiple sclerosis,Gold browser
340,Multiple sclerosis,ICD9,Incident multiple sclerosis,ICD9 browser
G35,Multiple sclerosis,ICD10,Incident multiple sclerosis,Caliber
