code,term,codetype,category,source
69896004,Rheumatoid arthritis,Snomed Concept,Incident rheumatoid arthritis,Head
69896004,[X]Other specified rheumatoid arthritis,Snomed Concept,Incident rheumatoid arthritis,Head
69896004,Rheumatoid arthritis and other inflammatory polyarthropathy,Snomed Concept,Incident rheumatoid arthritis,Head
69896004,Rheumatoid arthritis NOS,Snomed Concept,Incident rheumatoid arthritis,Head
69896004,Rheum. arth. - other joint,Snomed Concept,Incident rheumatoid arthritis,Head
69896004,Rheum. arth. - ankle/foot,Snomed Concept,Incident rheumatoid arthritis,Head
69896004,Rheum. arth. - knee joint,Snomed Concept,Incident rheumatoid arthritis,Head
69896004,Rheum. arth. - hip joint,Snomed Concept,Incident rheumatoid arthritis,Head
69896004,Rheum. arth. - hand joint,Snomed Concept,Incident rheumatoid arthritis,Head
69896004,Rheum. arth. - wrist joint,Snomed Concept,Incident rheumatoid arthritis,Head
69896004,Rheum. arth. - elbow joint,Snomed Concept,Incident rheumatoid arthritis,Head
69896004,Rheum. arth. - shoulder joint,Snomed Concept,Incident rheumatoid arthritis,Head
69896004,Rheum. arth. - multiple joint,Snomed Concept,Incident rheumatoid arthritis,Head
69896004,RA - Rheumatoid arthritis,Snomed Concept,Incident rheumatoid arthritis,Head
69896004,Rheumatoid disease,Snomed Concept,Incident rheumatoid arthritis,Head
287006005,Rheumatoid arthritis - multiple joint,Snomed Concept,Incident rheumatoid arthritis,Head
287006005,Rheumatoid arthritis of multiple joints,Snomed Concept,Incident rheumatoid arthritis,Head
909191000006103,[RFC] Rheumatoid arthritis,Snomed Concept,Incident rheumatoid arthritis,Head
398640008,Caplan's syndrome,Snomed Concept,Incident rheumatoid arthritis,Head
398640008,Caplan's syndrome,Snomed Concept,Incident rheumatoid arthritis,Head
1875561000006103,Rheumatoid arthritis monitoring invitation,Snomed Concept,Prevalent rheumatoid arthritis,Head
1875591000006106,Rheumatoid arthritis monitoring invitation first letter,Snomed Concept,Prevalent rheumatoid arthritis,Head
1875601000006103,Rheumatoid arthritis monitoring invitation second letter,Snomed Concept,Prevalent rheumatoid arthritis,Head
1875611000006100,Rheumatoid arthritis monitoring invitation third letter,Snomed Concept,Prevalent rheumatoid arthritis,Head
1875571000006105,Rheumatoid arthritis monitoring telephone invitation,Snomed Concept,Prevalent rheumatoid arthritis,Head
1875581000006108,Rheumatoid arthritis monitoring verbal invitation,Snomed Concept,Prevalent rheumatoid arthritis,Head
308143008,Seropositive erosive rheumatoid arthritis,Snomed Concept,Incident rheumatoid arthritis,Head
164454008,O/E - ulnar deviation,Snomed Concept,Incident rheumatoid arthritis,Head
164454008,O/E - hands - ulnar deviation,Snomed Concept,Incident rheumatoid arthritis,Head
164456005,O/E-hands-rheumatoid spindling,Snomed Concept,Incident rheumatoid arthritis,Head
275902004,Rheumatoid arthritis monitoring,Snomed Concept,Prevalent rheumatoid arthritis,Head
231041000000107,Delivery of rehabilitation for rheumatoid arthritis,Snomed Concept,Prevalent rheumatoid arthritis,Head
882321000000105,Rheumatoid arthritis monitoring invitation,Snomed Concept,Prevalent rheumatoid arthritis,Head
882401000000106,Rheumatoid arthritis monitoring invitation first letter,Snomed Concept,Prevalent rheumatoid arthritis,Head
882421000000102,Rheumatoid arthritis monitoring invitation second letter,Snomed Concept,Prevalent rheumatoid arthritis,Head
882441000000109,Rheumatoid arthritis monitoring invitation third letter,Snomed Concept,Prevalent rheumatoid arthritis,Head
882461000000105,Rheumatoid arthritis monitoring verbal invitation,Snomed Concept,Prevalent rheumatoid arthritis,Head
882481000000101,Rheumatoid arthritis monitoring telephone invitation,Snomed Concept,Prevalent rheumatoid arthritis,Head
193180002,Polyneuropathy in rheumatoid arthritis,Snomed Concept,Prevalent rheumatoid arthritis,Head
193250002,Myopathy due to rheumatoid arthritis,Snomed Concept,Prevalent rheumatoid arthritis,Head
195136004,Rheumatoid myocarditis,Snomed Concept,Incident rheumatoid arthritis,Head
28880005,Rheumatoid carditis,Snomed Concept,Incident rheumatoid arthritis,Head
398726004,Rheumatoid lung disease,Snomed Concept,Incident rheumatoid arthritis,Head
398726004,Rheumatoid lung,Snomed Concept,Incident rheumatoid arthritis,Head
398726004,Rheumatoid lung,Snomed Concept,Incident rheumatoid arthritis,Head
239920006,Adult onset Still's disease,Snomed Concept,Incident rheumatoid arthritis,Head
239920006,Adult-onset Still's disease,Snomed Concept,Incident rheumatoid arthritis,Head
239920006,Adult onset Still disease,Snomed Concept,Incident rheumatoid arthritis,Head
201766009,Rheumatoid arthritis of shoulder,Snomed Concept,Incident rheumatoid arthritis,Head
201767000,Rheumatoid arthritis of sternoclavicular joint,Snomed Concept,Incident rheumatoid arthritis,Head
201768005,Rheumatoid arthritis of acromioclavicular joint,Snomed Concept,Incident rheumatoid arthritis,Head
201769002,Rheumatoid arthritis of elbow,Snomed Concept,Incident rheumatoid arthritis,Head
201770001,Rheumatoid arthritis of distal radio-ulnar joint,Snomed Concept,Incident rheumatoid arthritis,Head
201770001,Rheumatoid arthritis of distal radioulnar joint,Snomed Concept,Incident rheumatoid arthritis,Head
201771002,Rheumatoid arthritis of wrist,Snomed Concept,Incident rheumatoid arthritis,Head
201771002,Rheum. arth. - wrist joint,Snomed Concept,Incident rheumatoid arthritis,Head
201772009,Rheumatoid arthritis of metacarpophalangeal joint,Snomed Concept,Incident rheumatoid arthritis,Head
201772009,Rheum. arth. - hand joint,Snomed Concept,Incident rheumatoid arthritis,Head
201773004,Rheumatoid arthritis of proximal interphalangeal joint of finger,Snomed Concept,Incident rheumatoid arthritis,Head
201774005,Rheumatoid arthritis of distal interphalangeal joint of finger,Snomed Concept,Incident rheumatoid arthritis,Head
201775006,Rheumatoid arthritis of hip,Snomed Concept,Incident rheumatoid arthritis,Head
201775006,Rheum. arth. - hip joint,Snomed Concept,Incident rheumatoid arthritis,Head
201776007,Rheumatoid arthritis of sacroiliac joint,Snomed Concept,Incident rheumatoid arthritis,Head
201777003,Rheumatoid arthritis of knee,Snomed Concept,Incident rheumatoid arthritis,Head
201777003,Rheum. arth. - knee joint,Snomed Concept,Incident rheumatoid arthritis,Head
201778008,Rheumatoid arthritis of tibio-fibular joint,Snomed Concept,Incident rheumatoid arthritis,Head
201779000,Rheumatoid arthritis of ankle,Snomed Concept,Incident rheumatoid arthritis,Head
201779000,Rheum. arth. - ankle/foot,Snomed Concept,Incident rheumatoid arthritis,Head
201780002,Rheumatoid arthritis of subtalar joint,Snomed Concept,Incident rheumatoid arthritis,Head
201781003,Rheumatoid arthritis of talonavicular joint,Snomed Concept,Incident rheumatoid arthritis,Head
429192004,Rheumatoid arthritis of other tarsal joint,Snomed Concept,Incident rheumatoid arthritis,Head
429192004,Rheumatoid arthritis of foot,Snomed Concept,Incident rheumatoid arthritis,Head
201783000,Rheumatoid arthritis of 1st metatarsophalangeal joint,Snomed Concept,Incident rheumatoid arthritis,Head
201783000,Rheumatoid arthritis of first metatarsophalangeal joint,Snomed Concept,Incident rheumatoid arthritis,Head
201784006,Rheumatoid arthritis of lesser metatarsophalangeal joint,Snomed Concept,Incident rheumatoid arthritis,Head
201785007,Rheumatoid arthritis of interphalangeal joint of toe,Snomed Concept,Incident rheumatoid arthritis,Head
400054000,Rheumatoid vasculitis,Snomed Concept,Incident rheumatoid arthritis,Head
239792003,Seronegative rheumatoid arthritis,Snomed Concept,Incident rheumatoid arthritis,Head
84017003,Rheumatoid bursitis,Snomed Concept,Incident rheumatoid arthritis,Head
33719002,Rheumatoid nodule,Snomed Concept,Incident rheumatoid arthritis,Head
33719002,Rheumatoid nodule,Snomed Concept,Incident rheumatoid arthritis,Head
33719002,Subcutaneous rheumatoid nodule,Snomed Concept,Incident rheumatoid arthritis,Head
201791009,Flare of rheumatoid arthritis,Snomed Concept,Prevalent rheumatoid arthritis,Head
57160007,Felty's syndrome,Snomed Concept,Incident rheumatoid arthritis,Head
57160007,Felty syndrome,Snomed Concept,Incident rheumatoid arthritis,Head
239793008,Rheumatoid arthritis with organ / system involvement,Snomed Concept,Incident rheumatoid arthritis,Head
239793008,Rheumatoid arthropathy + visceral/systemic involvement NOS,Snomed Concept,Incident rheumatoid arthritis,Head
239793008,[X]Rheumatoid arthritis+involvement/other organs or systems,Snomed Concept,Incident rheumatoid arthritis,Head
239791005,[X]Other seropositive rheumatoid arthritis,Snomed Concept,Incident rheumatoid arthritis,Head
239791005,"[X]Seropositive rheumatoid arthritis, unspecified",Snomed Concept,Incident rheumatoid arthritis,Head
239791005,Seropositive rheumatoid arthritis,Snomed Concept,Incident rheumatoid arthritis,Head
10713006,Fibrosing alveolitis associated with rheumatoid arthritis,Snomed Concept,Incident rheumatoid arthritis,Head
23060008,Swan-neck deformity of finger,Snomed Concept,Incident rheumatoid arthritis,Head
23060008,Swan-neck deformity,Snomed Concept,Incident rheumatoid arthritis,Head
161567008,H/O: rheumatoid arthritis,Snomed Concept,Prevalent rheumatoid arthritis,Aurum browser
735599007,Erosion of joint surface co-occurrent and due to rheumatoid arthritis,Snomed Concept,Prevalent rheumatoid arthritis,Aurum browser
1073891000119106,Deformity of left foot co-occurrent and due to rheumatoid arthritis,Snomed Concept,Prevalent rheumatoid arthritis,Aurum browser
1073871000119105,Deformity of left hand co-occurrent and due to rheumatoid arthritis,Snomed Concept,Prevalent rheumatoid arthritis,Aurum browser
1073881000119108,Deformity of right foot co-occurrent and due to rheumatoid arthritis,Snomed Concept,Prevalent rheumatoid arthritis,Aurum browser
1073861000119104,Deformity of right hand co-occurrent and due to rheumatoid arthritis,Snomed Concept,Prevalent rheumatoid arthritis,Aurum browser
1073791000119101,Rheumatoid arthritis of right hand,Snomed Concept,Incident rheumatoid arthritis,Aurum browser
1073721000119103,Rheumatoid arthritis of left hip,Snomed Concept,Incident rheumatoid arthritis,Aurum browser
1073801000119100,Rheumatoid arthritis of right hip,Snomed Concept,Incident rheumatoid arthritis,Aurum browser
805981000000102,Excepted from rheumatoid arthritis quality indicators - informed dissent,Snomed Concept,Prevalent rheumatoid arthritis,Aurum browser
847261000000104,Rheumatoid arthritis annual review,Snomed Concept,Prevalent rheumatoid arthritis,Aurum browser
50782009,Rheumatoid nodule,Snomed Concept,Incident rheumatoid arthritis,Aurum browser
86219005,Uveitis-rheumatoid arthritis syndrome,Snomed Concept,Incident rheumatoid arthritis,Aurum browser
287007001,Rheumatoid arthritis - hand joint,Snomed Concept,Incident rheumatoid arthritis,Aurum browser
287008006,Rheumatoid arthritis - ankle and/or foot,Snomed Concept,Incident rheumatoid arthritis,Aurum browser
427770001,Rheumatoid arthritis of temporomandibular joint,Snomed Concept,Incident rheumatoid arthritis,Aurum browser
1066991000000109,Rheumatoid arthritis monitoring invitation by SMS (short message service) text messaging,Snomed Concept,Prevalent rheumatoid arthritis,Aurum browser
1067001000000103,Rheumatoid arthritis monitoring SMS (short message service) text message first invitation,Snomed Concept,Prevalent rheumatoid arthritis,Aurum browser
1067011000000101,Rheumatoid arthritis monitoring SMS (short message service) text message second invitation,Snomed Concept,Prevalent rheumatoid arthritis,Aurum browser
1067021000000107,Rheumatoid arthritis monitoring SMS (short message service) text message third invitation,Snomed Concept,Prevalent rheumatoid arthritis,Aurum browser
1073731000119100,Rheumatoid arthritis of left knee,Snomed Concept,Incident rheumatoid arthritis,Aurum browser
1073811000119102,Rheumatoid arthritis of right knee,Snomed Concept,Incident rheumatoid arthritis,Aurum browser
1083081000000100,Rheumatoid arthritis monitoring invitation email,Snomed Concept,Prevalent rheumatoid arthritis,Aurum browser
11055151000119108,Seropositive rheumatoid arthritis of multiple joints,Snomed Concept,Incident rheumatoid arthritis,Aurum browser
1073741000119109,Rheumatoid arthritis of left shoulder,Snomed Concept,Incident rheumatoid arthritis,Aurum browser
1073821000119109,Rheumatoid arthritis of right shoulder,Snomed Concept,Incident rheumatoid arthritis,Aurum browser
319081000119109,Seronegative rheumatoid arthritis of multiple sites,Snomed Concept,Incident rheumatoid arthritis,Aurum browser
319871000119100,Rheumatoid nodule of left hand,Snomed Concept,Incident rheumatoid arthritis,Aurum browser
1073701000119107,Rheumatoid arthritis of left foot,Snomed Concept,Incident rheumatoid arthritis,Aurum browser
1073751000119106,Rheumatoid arthritis of left wrist,Snomed Concept,Incident rheumatoid arthritis,Aurum browser
1073781000119104,Rheumatoid arthritis of right foot,Snomed Concept,Incident rheumatoid arthritis,Aurum browser
1073831000119107,Rheumatoid arthritis of right wrist,Snomed Concept,Incident rheumatoid arthritis,Aurum browser
