code,term,codetype,category,source
77668003,Isolated tracheal tuberculosis,Snomed Concept,Incident tuberculosis,Breathe
78436002,Tuberculosis of intrathoracic lymph nodes,Snomed Concept,Incident tuberculosis,Breathe
78436002,Tuberculosis of intrathoracic lymph nodes NOS,Snomed Concept,Incident tuberculosis,Breathe
78436002,TB intrathoracic lymph nodes confirm bact histologically,Snomed Concept,Incident tuberculosis,Breathe
80010008,Isolated bronchial tuberculosis,Snomed Concept,Incident tuberculosis,Breathe
113861009,Mycobacterium tuberculosis,Snomed Concept,Incident tuberculosis,Breathe
80602006,Nodular lung tuberculosis,Snomed Concept,Incident tuberculosis,Breathe
1834101000006107,Sputum culture mycobacterium tuberculosis positive,Snomed Concept,Incident tuberculosis,Breathe
154283005,Pulmonary tuberculosis,Snomed Concept,Incident tuberculosis,Breathe
154283005,Other specified pulmonary tuberculosis,Snomed Concept,Incident tuberculosis,Breathe
154283005,Pulmonary tuberculosis NOS,Snomed Concept,Incident tuberculosis,Breathe
154283005,Other respiratory tuberculosis,Snomed Concept,Incident tuberculosis,Breathe
154283005,"Tuberculosis of lung, confirmed by unspecified means",Snomed Concept,Incident tuberculosis,Breathe
154283005,Other specified respiratory tuberculosis,Snomed Concept,Incident tuberculosis,Breathe
154283005,Other specified respiratory tuberculosis NOS,Snomed Concept,Incident tuberculosis,Breathe
154283005,Lung tuberculosis,Snomed Concept,Incident tuberculosis,Breathe
154283005,TB - Pulmonary tuberculosis,Snomed Concept,Incident tuberculosis,Breathe
710106005,Extensively drug resistant tuberculosis,Snomed Concept,Incident tuberculosis,Breathe
415622003,Streptomycin resistant tuberculosis,Snomed Concept,Incident tuberculosis,Breathe
415345001,Rifampicin resistant tuberculosis,Snomed Concept,Incident tuberculosis,Breathe
415222009,Pyrazinamide resistant tuberculosis,Snomed Concept,Incident tuberculosis,Breathe
414546009,Isoniazid resistant tuberculosis,Snomed Concept,Incident tuberculosis,Breathe
414146004,Ethambutol resistant tuberculosis,Snomed Concept,Incident tuberculosis,Breathe
413852006,Ciprofloxacin resistant tuberculosis,Snomed Concept,Incident tuberculosis,Breathe
423092005,Multidrug resistant tuberculosis,Snomed Concept,Incident tuberculosis,Breathe
182159002,Disseminated tuberculosis,Snomed Concept,Incident tuberculosis,Breathe
186172004,Tuberculous pleurisy in primary progressive tuberculosis,Snomed Concept,Incident tuberculosis,Breathe
111832004,Primary progressive tuberculosis,Snomed Concept,Incident tuberculosis,Breathe
186175002,Infiltrative lung tuberculosis,Snomed Concept,Incident tuberculosis,Breathe
186177005,Tuberculosis of lung with cavitation,Snomed Concept,Incident tuberculosis,Breathe
186178000,Tuberculosis of bronchus,Snomed Concept,Incident tuberculosis,Breathe
186182003,Tuberculosis of pleura,Snomed Concept,Incident tuberculosis,Breathe
186182003,Tuberculous pleurisy,Snomed Concept,Incident tuberculosis,Breathe
186182003,Tuberculous pleurisy NOS,Snomed Concept,Incident tuberculosis,Breathe
700273003,Isolated tracheobronchial tuberculosis,Snomed Concept,Incident tuberculosis,Breathe
700273003,Isolated tracheal or bronchial tuberculosis NOS,Snomed Concept,Incident tuberculosis,Breathe
186194007,"Tuberculosis of lung, confirmed by culture only",Snomed Concept,Incident tuberculosis,Breathe
186195008,"Tuberculosis of lung, confirmed histologically",Snomed Concept,Incident tuberculosis,Breathe
186276006,Acute miliary tuberculosis,Snomed Concept,Incident tuberculosis,Breathe
186276006,Acute miliary tuberculosis of a single specified site,Snomed Concept,Incident tuberculosis,Breathe
186276006,"[X]Acute miliary tuberculosis, unspecified",Snomed Concept,Incident tuberculosis,Breathe
186278007,Acute miliary tuberculosis of multiple sites,Snomed Concept,Incident tuberculosis,Breathe
47604008,Miliary tuberculosis,Snomed Concept,Incident tuberculosis,Breathe
47604008,Other specified miliary tuberculosis,Snomed Concept,Incident tuberculosis,Breathe
47604008,Miliary tuberculosis NOS,Snomed Concept,Incident tuberculosis,Breathe
47604008,[X]Other miliary tuberculosis,Snomed Concept,Incident tuberculosis,Breathe
47604008,"[X]Miliary tuberculosis, unspecified",Snomed Concept,Incident tuberculosis,Breathe
187252008,Late effects of respiratory tuberculosis,Snomed Concept,Incident tuberculosis,Breathe
187251001,Late effects of tuberculosis,Snomed Concept,Prevalent tuberculosis,Breathe
187251001,Late effects of tuberculosis of other specified organs,Snomed Concept,Prevalent tuberculosis,Breathe
187251001,Late effects of tuberculosis NOS,Snomed Concept,Prevalent tuberculosis,Breathe
187251001,Sequelae of tuberculosis,Snomed Concept,Prevalent tuberculosis,Breathe
187251001,[X]Sequelae of tuberculosis of other organs,Snomed Concept,Prevalent tuberculosis,Breathe
196017002,Pneumoconiosis associated with tuberculosis,Snomed Concept,Prevalent tuberculosis,Breathe
56717001,Tuberculosis,Snomed Concept,Incident tuberculosis,Breathe
56717001,Tuberculosis of bones or joints NOS,Snomed Concept,Incident tuberculosis,Breathe
56717001,Tuberculosis of other organs,Snomed Concept,Incident tuberculosis,Breathe
56717001,Tuberculosis of other specified organs,Snomed Concept,Incident tuberculosis,Breathe
56717001,Tuberculosis of other specified organs NOS,Snomed Concept,Incident tuberculosis,Breathe
