code,term,codetype,category,source
74532006,[M]Glioma NOS,Snomed Concept,Incident brain tumour           ,Head
74532006,[M]Glioma NOS,Snomed Concept,Incident brain tumour           ,Head
74532006,Malignant glioma,Snomed Concept,Incident brain tumour           ,Head
74532006,"Glioma, malignant, no ICD-O subtype",Snomed Concept,Incident brain tumour           ,Head
74532006,Glioma,Snomed Concept,Incident brain tumour           ,Head
428061005,Malignant neoplasm of other parts of brain,Snomed Concept,Incident brain tumour           ,Head
428061005,Malignant neoplasm of other part of brain NOS,Snomed Concept,Incident brain tumour           ,Head
428061005,Malignant neoplasm of brain NOS,Snomed Concept,Incident brain tumour           ,Head
428061005,Malignant neoplasm of brain,Snomed Concept,Incident brain tumour           ,Head
428061005,Cerebral tumour - malignant,Snomed Concept,Incident brain tumour           ,Head
188280007,Malignant neoplasm of cerebrum NOS,Snomed Concept,Incident brain tumour           ,Head
188280007,Malignant neoplasm of cerebrum (excluding lobes and ventricles),Snomed Concept,Incident brain tumour           ,Head
188280007,Ca cerebrum,Snomed Concept,Incident brain tumour           ,Head
188281006,Malignant neoplasm of basal ganglia,Snomed Concept,Incident brain tumour           ,Head
188282004,Malignant neoplasm of cerebral cortex,Snomed Concept,Incident brain tumour           ,Head
188285002,Malignant neoplasm of globus pallidus,Snomed Concept,Incident brain tumour           ,Head
188286001,Malignant neoplasm of hypothalamus,Snomed Concept,Incident brain tumour           ,Head
188286001,Malignant tumour of hypothalamus,Snomed Concept,Incident brain tumour           ,Head
188287005,Malignant neoplasm of thalamus,Snomed Concept,Incident brain tumour           ,Head
363467004,Malignant neoplasm of frontal lobe,Snomed Concept,Incident brain tumour           ,Head
363468009,Malignant neoplasm of temporal lobe NOS,Snomed Concept,Incident brain tumour           ,Head
363468009,Malignant neoplasm of temporal lobe,Snomed Concept,Incident brain tumour           ,Head
188289008,Malignant neoplasm of hippocampus,Snomed Concept,Incident brain tumour           ,Head
363469001,Malignant neoplasm of parietal lobe,Snomed Concept,Incident brain tumour           ,Head
363470000,Malignant neoplasm of occipital lobe,Snomed Concept,Incident brain tumour           ,Head
363471001,Malignant neoplasm of cerebral ventricle NOS,Snomed Concept,Incident brain tumour           ,Head
363471001,Malignant neoplasm of cerebral ventricles,Snomed Concept,Incident brain tumour           ,Head
188292007,Malignant neoplasm of choroid plexus,Snomed Concept,Incident brain tumour           ,Head
