code,term,codetype,category,source
254626006,Adenocarcinoma of lung,Snomed Concept,Incident lung cancer,Head
254637007,Non-small cell lung cancer,Snomed Concept,Incident lung cancer,Head
254637007,NSCLC - Non-small cell lung cancer,Snomed Concept,Incident lung cancer,Head
93880001,Lung cancer,Snomed Concept,Incident lung cancer,Head
93880001,Primary malignant neoplasm of lung,Snomed Concept,Incident lung cancer,Head
254632001,Small cell lung cancer,Snomed Concept,Incident lung cancer,Head
254632001,Small cell carcinoma of lung,Snomed Concept,Incident lung cancer,Head
254632001,SCLC - Small cell lung cancer,Snomed Concept,Incident lung cancer,Head
254634000,Squamous cell carcinoma of lung,Snomed Concept,Incident lung cancer,Head
907111000006102,[RFC] Lung cancer,Snomed Concept,Incident lung cancer,Head
363358000,Malignant neoplasm of other sites of bronchus or lung,Snomed Concept,Incident lung cancer,Head
363358000,Malignant tumour of lung,Snomed Concept,Incident lung cancer,Head
363358000,CA - Lung cancer,Snomed Concept,Incident lung cancer,Head
363358000,Malignant tumor of lung,Snomed Concept,Incident lung cancer,Head
430621000,Malignant neoplasm of lower respiratory tract,Snomed Concept,Incident lung cancer,Head
430621000,Ca trachea/bronchus/lung NOS,Snomed Concept,Incident lung cancer,Head
430621000,Ca trachea/bronchus/lung,Snomed Concept,Incident lung cancer,Head
363432004,Malignant neoplasm of trachea NOS,Snomed Concept,Incident lung cancer,Head
363432004,Malignant neoplasm of trachea,Snomed Concept,Incident lung cancer,Head
363432004,Malignant tumour of trachea,Snomed Concept,Incident lung cancer,Head
187854004,Malignant neoplasm of mucosa of trachea,Snomed Concept,Incident lung cancer,Head
372065009,Malignant neoplasm of main bronchus,Snomed Concept,Incident lung cancer,Head
372065009,Malignant neoplasm of main bronchus NOS,Snomed Concept,Incident lung cancer,Head
187857006,Malignant neoplasm of carina of bronchus,Snomed Concept,Incident lung cancer,Head
93827000,Malignant neoplasm of hilus of lung,Snomed Concept,Incident lung cancer,Head
93827000,Primary malignant neoplasm of hilus of lung,Snomed Concept,Incident lung cancer,Head
269464000,"Malignant neoplasm of upper lobe, bronchus or lung NOS",Snomed Concept,Incident lung cancer,Head
269464000,"Malignant neoplasm of upper lobe, bronchus or lung",Snomed Concept,Incident lung cancer,Head
269464000,Ca upper lobe bronchus/lung,Snomed Concept,Incident lung cancer,Head
278065000,Pancoast's syndrome,Snomed Concept,Incident lung cancer,Head
187861000,Malignant neoplasm of upper lobe bronchus,Snomed Concept,Incident lung cancer,Head
187862007,Malignant neoplasm of upper lobe of lung,Snomed Concept,Incident lung cancer,Head
187864008,"Malignant neoplasm of middle lobe, bronchus or lung",Snomed Concept,Incident lung cancer,Head
187864008,"Malignant neoplasm of middle lobe, bronchus or lung NOS",Snomed Concept,Incident lung cancer,Head
187864008,Ca middle lobe bronchus/lung,Snomed Concept,Incident lung cancer,Head
187865009,Malignant neoplasm of middle lobe bronchus,Snomed Concept,Incident lung cancer,Head
187866005,Malignant neoplasm of middle lobe of lung,Snomed Concept,Incident lung cancer,Head
187868006,"Malignant neoplasm of lower lobe, bronchus or lung",Snomed Concept,Incident lung cancer,Head
187868006,"Malignant neoplasm of lower lobe, bronchus or lung NOS",Snomed Concept,Incident lung cancer,Head
187868006,Ca lower lobe bronchus/lung,Snomed Concept,Incident lung cancer,Head
187869003,Malignant neoplasm of lower lobe bronchus,Snomed Concept,Incident lung cancer,Head
187870002,Malignant neoplasm of lower lobe of lung,Snomed Concept,Incident lung cancer,Head
109371002,Malignant neoplasm of overlapping lesion of bronchus and lung,Snomed Concept,Incident lung cancer,Head
112677002,[M]Bronchiolo-alveolar adenocarcinoma,Snomed Concept,Incident lung cancer,Head
112677002,[M]Alveolar cell carcinoma,Snomed Concept,Incident lung cancer,Head
112677002,[M]Bronchiolar carcinoma,Snomed Concept,Incident lung cancer,Head
112677002,Bronchiolo-alveolar adenocarcinoma,Snomed Concept,Incident lung cancer,Head
36310008,[M]Alveolar adenocarcinoma,Snomed Concept,Incident lung cancer,Head
36310008,Alveolar adenocarcinoma,Snomed Concept,Incident lung cancer,Head
1090881000000100,Malignant neoplasm of bronchus or lung,Snomed Concept,Incident lung cancer,Head
415077006,[V]Personal history of malignant neoplasm of bronchus,Snomed Concept,Prevalent lung cancer,Aurum browser
415077006,H/O: * bronchus,Snomed Concept,Prevalent lung cancer,Aurum browser
415077006,History of malignant neoplasm of bronchus,Snomed Concept,Prevalent lung cancer,Aurum browser
412341000000106,"[V]Personal history of malignant neoplasm of trachea, bronchus or lung",Snomed Concept,Prevalent lung cancer,Aurum browser
372136001,"Carcinoma of upper lobe, bronchus or lung",Snomed Concept,Incident lung cancer,Aurum browser
372120003,Carcinoma of main bronchus,Snomed Concept,Incident lung cancer,Aurum browser
372111007,"Carcinoma of lower lobe, bronchus or lung",Snomed Concept,Incident lung cancer,Aurum browser
726653000,Malignant carcinoid tumour of bronchus,Snomed Concept,Incident lung cancer,Aurum browser
733144006,Malignant epithelial neoplasm of bronchus,Snomed Concept,Incident lung cancer,Aurum browser
363493006,Malignant tumour of bronchus,Snomed Concept,Incident lung cancer,Aurum browser
93734005,Primary malignant neoplasm of bronchus,Snomed Concept,Incident lung cancer,Aurum browser
93729006,Primary malignant neoplasm of bronchus of left lower lobe,Snomed Concept,Incident lung cancer,Aurum browser
372110008,"Primary malignant neoplasm of lower lobe, bronchus or lung",Snomed Concept,Incident lung cancer,Aurum browser
722527003,Primary malignant neuroendocrine neoplasm of bronchus,Snomed Concept,Incident lung cancer,Aurum browser
254622008,Squamous cell carcinoma of bronchus,Snomed Concept,Incident lung cancer,Aurum browser
254622008,Bronchial carcinoma,Snomed Concept,Incident lung cancer,Aurum browser
254622008,Bronchogenic carcinoma,Snomed Concept,Incident lung cancer,Aurum browser
313353007,Squamous cell carcinoma of bronchus in left lower lobe,Snomed Concept,Incident lung cancer,Aurum browser
313354001,Squamous cell carcinoma of bronchus in left upper lobe,Snomed Concept,Incident lung cancer,Aurum browser
313355000,Squamous cell carcinoma of bronchus in right lower lobe,Snomed Concept,Incident lung cancer,Aurum browser
313356004,Squamous cell carcinoma of bronchus in right middle lobe,Snomed Concept,Incident lung cancer,Aurum browser
313357008,Squamous cell carcinoma of bronchus in right upper lobe,Snomed Concept,Incident lung cancer,Aurum browser
415082004,[V]Personal history of malignant neoplasm of lung,Snomed Concept,Prevalent lung cancer,Aurum browser
415082004,History of malignant neoplasm of lung,Snomed Concept,Prevalent lung cancer,Aurum browser
15956341000119105,Adenocarcinoma of left lung,Snomed Concept,Incident lung cancer,Aurum browser
