code,term,codetype,category,source
363443007,Cancer of ovary,Snomed Concept,Incident ovarian cancer     ,Head
363443007,Malignant tumour of ovary,Snomed Concept,Incident ovarian cancer     ,Head
363443007,CA - Cancer of ovary,Snomed Concept,Incident ovarian cancer     ,Head
363443007,Ovarian cancer,Snomed Concept,Incident ovarian cancer     ,Head
18854008,"[M]Struma ovarii, malignant",Snomed Concept,Incident ovarian cancer     ,Head
18854008,Malignant struma ovarii,Snomed Concept,Incident ovarian cancer     ,Head
307726001,Anaemia in ovarian carcinoma,Snomed Concept,Prevalent ovarian cancer    ,Head
18412003,Laparotomy for staging of ovarian cancer,Snomed Concept,Prevalent ovarian cancer    ,Aurum browser
93934004,Primary malignant neoplasm of ovary,Snomed Concept,Incident ovarian cancer     ,Aurum browser
94455000,Secondary malignant neoplasm of ovary,Snomed Concept,Incident ovarian cancer     ,Aurum browser
94455000,Secondary Ca ovary,Snomed Concept,Incident ovarian cancer     ,Aurum browser
94455000,Metastatic malignant neoplasm to ovary,Snomed Concept,Incident ovarian cancer     ,Aurum browser
94455000,Ovarian metastasis,Snomed Concept,Incident ovarian cancer     ,Aurum browser
94455000,Krukenburg tumour,Snomed Concept,Incident ovarian cancer     ,Aurum browser
254852002,Endometrioid carcinoma ovary,Snomed Concept,Incident ovarian cancer     ,Aurum browser
369522002,Primary malignant neoplasm of left ovary,Snomed Concept,Incident ovarian cancer     ,Aurum browser
369529006,Primary malignant neoplasm of right ovary,Snomed Concept,Incident ovarian cancer     ,Aurum browser
422782004,"Ovarian cancer, disseminated",Snomed Concept,Incident ovarian cancer     ,Aurum browser
423274005,"Carcinoma of ovary, stage 4",Snomed Concept,Incident ovarian cancer     ,Aurum browser
423274005,Ovarian cancer stage 4,Snomed Concept,Incident ovarian cancer     ,Aurum browser
423480004,"Carcinoma of ovary, stage 3",Snomed Concept,Incident ovarian cancer     ,Aurum browser
423480004,Ovarian cancer stage 3,Snomed Concept,Incident ovarian cancer     ,Aurum browser
424600001,"Carcinoma of ovary, stage 1",Snomed Concept,Incident ovarian cancer     ,Aurum browser
424600001,"Cancer of ovary, stage 1",Snomed Concept,Incident ovarian cancer     ,Aurum browser
424600001,Ovarian cancer stage 1,Snomed Concept,Incident ovarian cancer     ,Aurum browser
429090009,History of malignant neoplasm of ovary,Snomed Concept,Prevalent ovarian cancer    ,Aurum browser
446526009,Debulking of neoplasm of ovary,Snomed Concept,Incident ovarian cancer     ,Aurum browser
672291000119107,[V]Personal history of malignant neoplasm of ovary,Snomed Concept,Prevalent ovarian cancer    ,Aurum browser
672291000119107,History of carcinosarcoma of ovary,Snomed Concept,Prevalent ovarian cancer    ,Aurum browser
907041000006102,[RFC] Cancer of the ovary,Snomed Concept,Incident ovarian cancer     ,Aurum browser
15635721000119108,Primary malignant neoplasm of both ovaries,Snomed Concept,Incident ovarian cancer     ,Aurum browser
385364001,FIGO ovarian tumour stage finding,Snomed Concept,Incident ovarian cancer     ,Aurum browser
385364001,FIGO ovarian tumor stage finding,Snomed Concept,Incident ovarian cancer     ,Aurum browser
533411000000108,Ca ovary/other uterine adnexa,Snomed Concept,Incident ovarian cancer     ,Aurum browser
573671000000104,Ca ovary/uterine adnexa NOS,Snomed Concept,Incident ovarian cancer     ,Aurum browser
254849005,Malignant epithelial tumour of ovary,Snomed Concept,Incident ovarian cancer     ,Aurum browser
254849005,Carcinoma of ovary,Snomed Concept,Incident ovarian cancer     ,Aurum browser
702368000,Carcinosarcoma of ovary,Snomed Concept,Incident ovarian cancer     ,Aurum browser
763131005,Clear cell adenocarcinoma of ovary,Snomed Concept,Incident ovarian cancer     ,Aurum browser
254870004,Choriocarcinoma of ovary,Snomed Concept,Incident ovarian cancer     ,Aurum browser
