code,term,codetype,category,source
363418001,Malignant neoplasm of other specified sites of pancreas,Snomed Concept,Incident pancreatic adenocarcinoma,Head
363418001,Malignant neoplasm of specified site of pancreas NOS,Snomed Concept,Incident pancreatic adenocarcinoma,Head
363418001,Malignant neoplasm of pancreas NOS,Snomed Concept,Incident pancreatic adenocarcinoma,Head
363418001,Malignant tumour of pancreas,Snomed Concept,Incident pancreatic adenocarcinoma,Head
363418001,Malignant tumor of pancreas,Snomed Concept,Incident pancreatic adenocarcinoma,Head
363418001,CA - Cancer of pancreas,Snomed Concept,Incident pancreatic adenocarcinoma,Head
363418001,Pancreatic cancer,Snomed Concept,Incident pancreatic adenocarcinoma,Head
363418001,CA - Pancreatic cancer,Snomed Concept,Incident pancreatic adenocarcinoma,Head
363419009,Malignant tumour of head of pancreas,Snomed Concept,Incident pancreatic adenocarcinoma,Head
363419009,Malignant tumour of head of pancreas,Snomed Concept,Incident pancreatic adenocarcinoma,Head
363419009,Malignant tumor of head of pancreas,Snomed Concept,Incident pancreatic adenocarcinoma,Head
187791002,Malignant neoplasm of body of pancreas,Snomed Concept,Incident pancreatic adenocarcinoma,Head
187791002,Malignant tumour of body of pancreas,Snomed Concept,Incident pancreatic adenocarcinoma,Head
187792009,Malignant neoplasm of tail of pancreas,Snomed Concept,Incident pancreatic adenocarcinoma,Head
187792009,Malignant tumour of tail of pancreas,Snomed Concept,Incident pancreatic adenocarcinoma,Head
187792009,Ca tail of pancreas,Snomed Concept,Incident pancreatic adenocarcinoma,Head
187793004,Malignant neoplasm of pancreatic duct,Snomed Concept,Incident pancreatic adenocarcinoma,Head
187793004,Malignant tumour of pancreatic duct,Snomed Concept,Incident pancreatic adenocarcinoma,Head
187794005,Malignant neoplasm of Islets of Langerhans,Snomed Concept,Incident pancreatic non-adenocarcinoma,Head
109848009,"Malignant neoplasm, overlapping lesion of pancreas",Snomed Concept,Incident pancreatic adenocarcinoma,Head
187798008,Malignant neoplasm of ectopic pancreatic tissue,Snomed Concept,Incident pancreatic adenocarcinoma,Head
60346004,[M]Islet cell carcinoma,Snomed Concept,Incident pancreatic non-adenocarcinoma,Head
20955008,"[M]Beta-cell tumour, malignant",Snomed Concept,Incident pancreatic non-adenocarcinoma,Head
20955008,Malignant insulinoma,Snomed Concept,Incident pancreatic non-adenocarcinoma,Head
66515009,"[M]Alpha-cell tumour,malignant",Snomed Concept,Incident pancreatic non-adenocarcinoma,Head
66515009,Malignant glucagonoma,Snomed Concept,Incident pancreatic non-adenocarcinoma,Head
999000,[M]Mixed islet cell and exocrine adenocarcinoma,Snomed Concept,Incident pancreatic adenocarcinoma,Head
19756007,"[M]G cell tumour, malignant",Snomed Concept,Incident pancreatic non-adenocarcinoma,Head
19756007,Malignant gastrinoma,Snomed Concept,Incident pancreatic non-adenocarcinoma,Head
254613007,Carcinoid tumour of pancreas,Snomed Concept,Incident pancreatic adenocarcinoma,Aurum browser
