code,term,codetype,category,source
1974511000006109,"Paranoid schizophrenia, complete remission",Snomed Concept,Prevalent schizophrenia,Head
755301000000102,[X]Paranoid state in remission,Snomed Concept,Prevalent schizophrenia,Head
755301000000102,Paranoid state in remission,Snomed Concept,Prevalent schizophrenia,Head
191526005,Schizophrenic disorders,Snomed Concept,Incident schizophrenia,Head
191526005,Schizophrenic psychoses NOS,Snomed Concept,Incident schizophrenia,Head
191526005,Schizophrenic psychoses,Snomed Concept,Incident schizophrenia,Head
480111000000107,[X]Chronic hallucinatory psychosis,Snomed Concept,Incident schizophrenia,Head
417601000000102,"[X]Schizophrenia, schizotypal and delusional disorders",Snomed Concept,Incident schizophrenia,Head
417601000000102,"[X]Schizophrenia, schizotypal and delusional disorders",Snomed Concept,Incident schizophrenia,Head
285521000000103,Schizophrenia resolved,Snomed Concept,Prevalent schizophrenia,Head
285551000000108,Psychosis resolved,Snomed Concept,Prevalent schizophrenia,Head
268957000,"Neurotic condition, insight present",Snomed Concept,Incident schizophrenia,Head
268957000,"Psychotic condition, insight present",Snomed Concept,Incident schizophrenia,Head
12200008,Impaired insight,Snomed Concept,Incident schizophrenia,Head
12200008,Poor insight into psychotic condition,Snomed Concept,Incident schizophrenia,Head
191525009,Non-organic psychoses,Snomed Concept,Incident schizophrenia,Head
191525009,Other specified non-organic psychoses,Snomed Concept,Incident schizophrenia,Head
191525009,Non-organic psychosis NOS,Snomed Concept,Incident schizophrenia,Head
191525009,[X]Unspecified nonorganic psychosis,Snomed Concept,Incident schizophrenia,Head
191525009,Other nonorganic psychoses,Snomed Concept,Incident schizophrenia,Head
191525009,Non-organic psychosis,Snomed Concept,Incident schizophrenia,Head
191525009,[X]Other nonorganic psychotic disorders,Snomed Concept,Incident schizophrenia,Head
191527001,Schizophrenia simplex,Snomed Concept,Incident schizophrenia,Head
191527001,Simple schizophrenia,Snomed Concept,Incident schizophrenia,Head
191527001,Simple schizophrenia NOS,Snomed Concept,Incident schizophrenia,Head
191527001,[X]Simple schizophrenia,Snomed Concept,Incident schizophrenia,Head
58214004,Unspecified schizophrenia,Snomed Concept,Incident schizophrenia,Head
58214004,Other schizophrenia NOS,Snomed Concept,Incident schizophrenia,Head
58214004,Schizophrenia,Snomed Concept,Incident schizophrenia,Head
58214004,"[X]Schizophrenia, unspecified",Snomed Concept,Incident schizophrenia,Head
58214004,Other schizophrenia,Snomed Concept,Incident schizophrenia,Head
58214004,[X]Other schizophrenia,Snomed Concept,Incident schizophrenia,Head
58214004,[X]Cenesthopathic schizophrenia,Snomed Concept,Incident schizophrenia,Head
58214004,[X]Schizophrenia,Snomed Concept,Incident schizophrenia,Head
58214004,[X]Schizophreniform disord NOS,Snomed Concept,Incident schizophrenia,Head
58214004,[X]Schizophrenifrm psychos NOS,Snomed Concept,Incident schizophrenia,Head
16990005,Subchronic schizophrenia,Snomed Concept,Incident schizophrenia,Head
83746006,Chronic schizophrenic,Snomed Concept,Incident schizophrenia,Head
83746006,Chronic schizophrenia,Snomed Concept,Incident schizophrenia,Head
111482003,Acute exacerbation of subchronic schizophrenia,Snomed Concept,Prevalent schizophrenia,Head
191531007,Acute exacerbation of chronic schizophrenia,Snomed Concept,Prevalent schizophrenia,Head
