code,description,codetype,source,category,include,comments
1464,H/O: schizophrenia,Read,caliber,prevalent,y,
146H.00,H/O: psychosis,Read,caliber,prevalent,y,
212W.00,Schizophrenia resolved,Read,caliber,prevalent,y,
212X.00,Psychosis resolved,Read,caliber,prevalent,y,
285..11,Psychotic condition - insight present,Read,caliber,incident,y,
286..11,Poor insight into psychotic condition,Read,caliber,incident,y,
E100000,Unspecified schizophrenia,Read,caliber,incident,y,
E100100,Subchronic schizophrenia,Read,caliber,incident,y,
E100200,Chronic schizophrenic,Read,caliber,incident,y,
E100300,Acute exacerbation of subchronic schizophrenia,Read,caliber,incident,y,
E100400,Acute exacerbation of chronic schizophrenia,Read,caliber,incident,y,
E100500,Schizophrenia in remission,Read,caliber,prevalent,y,
E100.00,Simple schizophrenia,Read,caliber,incident,y,
E100.11,Schizophrenia simplex,Read,caliber,incident,y,
E100z00,Simple schizophrenia NOS,Read,caliber,incident,y,
E101000,Unspecified hebephrenic schizophrenia,Read,caliber,incident,y,
E101400,Acute exacerbation of chronic hebephrenic schizophrenia,Read,caliber,incident,y,
E101500,Hebephrenic schizophrenia in remission,Read,caliber,prevalent,y,
E101.00,Hebephrenic schizophrenia,Read,caliber,incident,y,
E101z00,Hebephrenic schizophrenia NOS,Read,caliber,incident,y,
E102000,Unspecified catatonic schizophrenia,Read,caliber,incident,y,
E102100,Subchronic catatonic schizophrenia,Read,caliber,incident,y,
E102400,Acute exacerbation of chronic catatonic schizophrenia,Read,caliber,incident,y,
E102500,Catatonic schizophrenia in remission,Read,caliber,prevalent,y,
E102.00,Catatonic schizophrenia,Read,caliber,incident,y,
E102z00,Catatonic schizophrenia NOS,Read,caliber,incident,y,
E103000,Unspecified paranoid schizophrenia,Read,caliber,incident,y,
E103100,Subchronic paranoid schizophrenia,Read,caliber,incident,y,
E103200,Chronic paranoid schizophrenia,Read,caliber,incident,y,
E103300,Acute exacerbation of subchronic paranoid schizophrenia,Read,caliber,incident,y,
E103400,Acute exacerbation of chronic paranoid schizophrenia,Read,caliber,incident,y,
E103500,Paranoid schizophrenia in remission,Read,caliber,prevalent,y,
E103.00,Paranoid schizophrenia,Read,caliber,incident,y,
E103z00,Paranoid schizophrenia NOS,Read,caliber,incident,y,
E105000,Unspecified latent schizophrenia,Read,caliber,incident,y,
E105200,Chronic latent schizophrenia,Read,caliber,incident,y,
E105500,Latent schizophrenia in remission,Read,caliber,prevalent,y,
E105.00,Latent schizophrenia,Read,caliber,incident,y,
E105z00,Latent schizophrenia NOS,Read,caliber,incident,y,
E106.00,Residual schizophrenia,Read,caliber,incident,y,
E107000,Unspecified schizo-affective schizophrenia,Read,caliber,incident,y,
E107100,Subchronic schizo-affective schizophrenia,Read,caliber,incident,y,
E107200,Chronic schizo-affective schizophrenia,Read,caliber,incident,y,
E107300,Acute exacerbation subchronic schizo-affective schizophrenia,Read,caliber,incident,y,
E107400,Acute exacerbation of chronic schizo-affective schizophrenia,Read,caliber,incident,y,
